Total,Big Plates,Small Plates
176.6,` 22.6 20.0 15.9      11.3     ,2.2 1.25
176.8,` 22.6 20.0      15.0      10.0,4.5 1.25
176.9,` 22.6 20.0           11.3 10.0,5.0 4.5
176.9,` 22.6 20.0      15.0      10.0,2.2 1.25 1.25 1.1
176.9,` 22.6 20.0      15.0 11.3     ,4.5
176.9,` 22.6 20.0 15.9      11.3     ,1.25 1.25 1.1
177.0,` 22.6 20.0      15.0 11.3     ,2.2 1.25 1.1
177.1,` 22.6 20.0 15.9           10.0,5.0
177.1,` 22.6 20.0 15.9 15.0          ,
177.3,` 22.6 20.0           11.3 10.0,5.0 2.2 1.25 1.25
177.3,` 22.6 20.0      15.0 11.3     ,2.2 1.25 1.25
177.5,` 22.6 20.0      15.0      10.0,5.0 1.1
177.7,` 22.6 20.0 15.9               ,5.0 4.5 2.2 1.25 1.25 1.1
177.8,` 22.6 20.0      15.0      10.0,5.0 1.25
177.9,` 22.6 20.0           11.3 10.0 10.0,
177.9,` 22.6 20.0      15.0 11.3     ,5.0
178.3,` 22.6 20.0 15.9           10.0,4.5 1.1
178.6,` 22.6 20.0 15.9           10.0,4.5 1.25
178.7,` 22.6 20.0      15.0      10.0,4.5 2.2
178.7,` 22.6 20.0 15.9           10.0,2.2 1.25 1.25 1.1
178.7,` 22.6 20.0 15.9      11.3     ,4.5
178.8,` 22.6 20.0 15.9      11.3     ,2.2 1.25 1.1
179.0,` 22.6 20.0      15.0      10.0,4.5 1.25 1.1
179.1,` 22.6 20.0           11.3 10.0,5.0 4.5 1.1
179.1,` 22.6 20.0      15.0 11.3     ,4.5 1.1
179.1,` 22.6 20.0 15.9      11.3     ,2.2 1.25 1.25
179.3,` 22.6 20.0      15.0      10.0,4.5 1.25 1.25
179.3,` 22.6 20.0 15.9           10.0,5.0 1.1
179.3,` 22.6 20.0 15.9 15.0          ,1.1
179.4,` 22.6 20.0           11.3 10.0,5.0 4.5 1.25
179.4,` 22.6 20.0      15.0 11.3     ,4.5 1.25
179.5,` 22.6 20.0      15.0 11.3     ,2.2 1.25 1.25 1.1
179.6,` 22.6 20.0 15.9           10.0,5.0 1.25
179.6,` 22.6 20.0 15.9 15.0          ,1.25
179.7,` 22.6 20.0      15.0      10.0,5.0 2.2
179.7,` 22.6 20.0 15.9      11.3     ,5.0
180.0,` 22.6 20.0      15.0      10.0,5.0 1.25 1.1
180.1,` 22.6 20.0           11.3 10.0 10.0,1.1
180.1,` 22.6 20.0      15.0 11.3     ,5.0 1.1
180.3,` 22.6 20.0      15.0      10.0,5.0 1.25 1.25
180.4,` 22.6 20.0           11.3 10.0 10.0,1.25
180.4,` 22.6 20.0      15.0 11.3     ,5.0 1.25
180.5,` 22.6 20.0 15.9           10.0,4.5 2.2
180.8,` 22.6 20.0 15.9           10.0,4.5 1.25 1.1
180.9,` 22.6 20.0      15.0      10.0,4.5 2.2 1.1
180.9,` 22.6 20.0 15.9      11.3     ,4.5 1.1
181.1,` 22.6 20.0 15.9           10.0,4.5 1.25 1.25
181.2,` 22.6 20.0      15.0      10.0,4.5 2.2 1.25
181.2,` 22.6 20.0 15.9      11.3     ,4.5 1.25
181.3,` 22.6 20.0           11.3 10.0,5.0 4.5 2.2
181.3,` 22.6 20.0      15.0 11.3     ,4.5 2.2
181.3,` 22.6 20.0 15.9      11.3     ,2.2 1.25 1.25 1.1
181.5,` 22.6 20.0      15.0      10.0,4.5 1.25 1.25 1.1
181.5,` 22.6 20.0 15.9           10.0,5.0 2.2
181.5,` 22.6 20.0 15.9 15.0          ,2.2
181.6,` 22.6 20.0      15.0 11.3     ,4.5 1.25 1.1
181.8,` 22.6 20.0 15.9           10.0,5.0 1.25 1.1
181.8,` 22.6 20.0 15.9 15.0          ,1.25 1.1
181.9,` 22.6 20.0           11.3 10.0,5.0 4.5 1.25 1.25
181.9,` 22.6 20.0      15.0      10.0,5.0 2.2 1.1
181.9,` 22.6 20.0      15.0 11.3     ,4.5 1.25 1.25
181.9,` 22.6 20.0 15.9      11.3     ,5.0 1.1
182.1,` 22.6 20.0 15.9           10.0,5.0 1.25 1.25
182.1,` 22.6 20.0 15.9 15.0          ,1.25 1.25
182.2,` 22.6 20.0      15.0      10.0,5.0 2.2 1.25
182.2,` 22.6 20.0 15.9      11.3     ,5.0 1.25
182.3,` 22.6 20.0           11.3 10.0 10.0,2.2
182.3,` 22.6 20.0      15.0 11.3     ,5.0 2.2
182.5,` 22.6 20.0      15.0      10.0,5.0 1.25 1.25 1.1
182.6,` 22.6 20.0      15.0 11.3     ,5.0 1.25 1.1
182.7,` 22.6 20.0 15.9           10.0,4.5 2.2 1.1
182.9,` 22.6 20.0      15.0 11.3     ,5.0 1.25 1.25
183.0,` 22.6 20.0 15.9           10.0,4.5 2.2 1.25
183.1,` 22.6 20.0 15.9      11.3     ,4.5 2.2
183.3,` 22.6 20.0 15.9           10.0,4.5 1.25 1.25 1.1
183.4,` 22.6 20.0 15.9      11.3     ,4.5 1.25 1.1
183.5,` 22.6 20.0      15.0 11.3     ,4.5 2.2 1.1
183.7,` 22.6 20.0      15.0      10.0,4.5 2.2 1.25 1.25
183.7,` 22.6 20.0 15.9           10.0,5.0 2.2 1.1
183.7,` 22.6 20.0 15.9      11.3     ,4.5 1.25 1.25
183.7,` 22.6 20.0 15.9 15.0          ,2.2 1.1
183.8,` 22.6 20.0      15.0 11.3     ,4.5 2.2 1.25
184.0,` 22.6 20.0 15.9           10.0,5.0 2.2 1.25
184.0,` 22.6 20.0 15.9 15.0          ,2.2 1.25
184.1,` 22.6 20.0      15.0 11.3     ,4.5 1.25 1.25 1.1
184.1,` 22.6 20.0 15.9      11.3     ,5.0 2.2
184.3,` 22.6 20.0      15.0      10.0,5.0 4.5
184.3,` 22.6 20.0 15.9           10.0,5.0 1.25 1.25 1.1
184.3,` 22.6 20.0 15.9 15.0          ,1.25 1.25 1.1
184.4,` 22.6 20.0 15.9      11.3     ,5.0 1.25 1.1
184.5,` 22.6 20.0      15.0 11.3     ,5.0 2.2 1.1
184.7,` 22.6 20.0      15.0      10.0,5.0 2.2 1.25 1.25
184.7,` 22.6 20.0 15.9      11.3     ,5.0 1.25 1.25
184.8,` 22.6 20.0      15.0 11.3     ,5.0 2.2 1.25
185.1,` 22.6 20.0      15.0 11.3     ,5.0 1.25 1.25 1.1
185.3,` 22.6 20.0      15.0      10.0 10.0,
185.3,` 22.6 20.0 15.9      11.3     ,4.5 2.2 1.1
185.5,` 22.6 20.0 15.9           10.0,4.5 2.2 1.25 1.25
185.6,` 22.6 20.0 15.9      11.3     ,4.5 2.2 1.25
185.9,` 22.6 20.0 15.9      11.3     ,4.5 1.25 1.25 1.1
186.1,` 22.6 20.0 15.9           10.0,5.0 4.5
186.1,` 22.6 20.0 15.9 15.0          ,4.5
186.2,` 22.6 20.0 15.9 15.0          ,2.2 1.25 1.1
